player_id,player_display_name,position,season,team,games,passing_yards,passing_tds,passing_interceptions,carries,rushing_yards,rushing_tds,receptions,targets,receiving_yards,receiving_tds,sack_fumbles_lost,rushing_fumbles_lost,receiving_fumbles_lost,fantasy_points,fantasy_points_ppr,fantasy_points_per_game,fantasy_points_ppr_per_game,total_touches,opportunities,total_yards,total_tds,ppr_per_game,opportunities_per_game,touches_per_game,ppr_per_opportunity,overall_rank,position_rank
00-0039062,Jonathan Mingo,WR,2025,DAL,5,0,0,0,0,0,0,1,5,25,0,0,0,0,2.5,3.5,0.5,0.7,1,5,25,0,0.7,1.0,0.2,0.7,505,214
00-0037539,Lucas Krull,TE,2025,DEN,2,0,0,0,0,0,0,2,4,15,0,0,0,0,1.5,3.5,0.75,1.75,2,4,15,0,1.75,2.0,1.0,0.875,506,106
00-0038573,Derius Davis,WR,2025,LAC,11,0,0,0,2,5,0,2,3,10,0,0,0,0,1.5000000000000002,3.5,0.13636363636363638,0.3181818181818182,4,5,15,0,0.3181818181818182,0.45454545454545453,0.36363636363636365,0.7,507,215
00-0040317,Jacoby Jones,WR,2025,WAS,1,0,0,0,0,0,0,1,1,25,0,0,0,0,2.5,3.5,2.5,3.5,1,1,25,0,3.5,1.0,1.0,3.5,508,216
00-0040388,Jakobie Keeney-James,WR,2025,GB,1,0,0,0,0,0,0,2,2,15,0,0,0,0,1.5,3.5,1.5,3.5,2,2,15,0,3.5,2.0,2.0,1.75,509,217
00-0040509,Ben Yurosek,TE,2025,MIN,6,0,0,0,0,0,0,2,3,14,0,0,0,0,1.4,3.4,0.2333333333333333,0.5666666666666667,2,3,14,0,0.5666666666666667,0.5,0.3333333333333333,1.1333333333333333,510,107
00-0035602,Alex Bachman,WR,2025,LV,11,0,0,0,0,0,0,2,3,12,0,0,0,0,1.2000000000000002,3.2,0.10909090909090911,0.29090909090909095,2,3,12,0,0.29090909090909095,0.2727272727272727,0.18181818181818182,1.0666666666666667,511,218
00-0037745,Velus Jones Jr.,RB,2025,SEA,1,0,0,0,4,32,0,0,0,0,0,0,0,0,3.2,3.2,3.2,3.2,4,4,32,0,3.2,4.0,4.0,0.8,512,123
00-0037015,Sal Cannella,TE,2025,CLE,2,0,0,0,0,0,0,2,5,11,0,0,0,0,1.1,3.1,0.55,1.55,2,5,11,0,1.55,2.5,1.0,0.62,513,108
00-0040244,Moliki Matavao,TE,2025,NO,1,0,0,0,0,0,0,2,2,10,0,0,0,0,1.0,3.0,1.0,3.0,2,2,10,0,3.0,2.0,2.0,1.5,514,109
00-0031237,Teddy Bridgewater,QB,2025,TB,3,62,0,0,3,4,0,0,0,0,0,0,0,0,2.88,2.88,0.96,0.96,3,3,66,0,0.96,1.0,1.0,0.96,515,65
00-0035876,Andre Baccellia,WR,2025,ARI,4,0,0,0,0,0,0,2,4,8,0,0,0,0,0.8,2.8,0.2,0.7,2,4,8,0,0.7,1.0,0.5,0.7,516,219
00-0033589,David Moore,WR,2025,CAR,3,0,0,0,1,12,0,1,1,5,0,0,0,0,1.7000000000000002,2.7,0.5666666666666668,0.9,2,2,17,0,0.9,0.6666666666666666,0.6666666666666666,1.35,517,220
00-0034073,Ross Dwelley,TE,2025,DET,4,0,0,0,0,0,0,2,5,7,0,0,0,0,0.7000000000000001,2.7,0.17500000000000002,0.675,2,5,7,0,0.675,1.25,0.5,0.54,518,110
00-0036232,Harrison Bryant,TE,2025,HOU,5,0,0,0,0,0,0,2,6,7,0,0,0,0,0.7,2.7,0.13999999999999999,0.54,2,6,7,0,0.54,1.2,0.4,0.45,519,111
00-0039631,Cam Grandy,TE,2025,CIN,2,0,0,0,0,0,0,2,2,7,0,0,0,0,0.7000000000000001,2.7,0.35000000000000003,1.35,2,2,7,0,1.35,1.0,1.0,1.35,520,112
00-0037258,Dameon Pierce,RB,2025,HOU,4,0,0,0,10,26,0,0,1,0,0,0,0,0,2.6,2.6,0.65,0.65,10,11,26,0,0.65,2.75,2.5,0.23636363636363636,521,124
00-0038394,Will Mallory,TE,2025,IND,1,0,0,0,0,0,0,1,1,16,0,0,0,0,1.6,2.6,1.6,2.6,1,1,16,0,2.6,1.0,1.0,2.6,522,113
00-0038496,Xavier Gipson,WR,2025,PHI,5,0,0,0,0,0,0,2,2,6,0,0,0,0,0.6000000000000001,2.6,0.12000000000000002,0.52,2,2,6,0,0.52,0.4,0.4,1.3,523,221
00-0039816,Anthony Gould,WR,2025,IND,11,0,0,0,0,0,0,2,2,6,0,0,0,0,0.6000000000000001,2.6,0.05454545454545456,0.23636363636363636,2,2,6,0,0.23636363636363636,0.18181818181818182,0.18181818181818182,1.3,524,222
00-0038416,Tyson Bagent,QB,2025,CHI,2,47,0,0,2,7,0,0,0,0,0,0,0,0,2.58,2.58,1.29,1.29,2,2,54,0,1.29,1.0,1.0,1.29,525,66
00-0035628,D'Ernest Johnson,RB,2025,NE,4,0,0,0,13,25,0,0,0,0,0,0,0,0,2.5,2.5,0.625,0.625,13,13,25,0,0.625,3.25,3.25,0.19230769230769232,526,125
00-0036497,Tim Jones,WR,2025,JAX,2,0,0,0,0,0,0,1,1,15,0,0,0,0,1.5,2.5,0.75,1.25,1,1,15,0,1.25,0.5,0.5,2.5,527,223
00-0040534,Ke'Shawn Williams,WR,2025,CIN,3,0,0,0,2,10,0,1,1,5,0,0,0,0,1.5,2.5,0.5,0.8333333333333334,3,3,15,0,0.8333333333333334,1.0,1.0,0.8333333333333334,528,224
00-0037340,Zaire Mitchell-Paden,TE,2025,NO,1,0,0,0,0,0,0,1,1,14,0,0,0,0,1.4000000000000001,2.4000000000000004,1.4000000000000001,2.4000000000000004,1,1,14,0,2.4000000000000004,1.0,1.0,2.4000000000000004,529,114
00-0038710,Blake Whiteheart,TE,2025,CLE,9,0,0,0,0,0,0,2,6,4,0,0,0,0,0.4,2.4,0.044444444444444446,0.26666666666666666,2,6,4,0,0.26666666666666666,0.6666666666666666,0.2222222222222222,0.39999999999999997,530,115
00-0040646,Jalen Royals,WR,2025,KC,2,0,0,0,0,0,0,2,3,4,0,0,0,0,0.4,2.4,0.2,1.2,2,3,4,0,1.2,1.5,1.0,0.7999999999999999,531,225
00-0039164,Anthony Richardson,QB,2025,IND,2,9,0,0,4,-1,0,1,1,9,0,0,0,0,1.16,2.1599999999999997,0.58,1.0799999999999998,5,5,17,0,1.0799999999999998,2.5,2.5,0.43199999999999994,532,67
00-0033439,Pharaoh Brown,TE,2025,ARI,5,0,0,0,0,0,0,2,2,1,0,0,0,0,0.1,2.1,0.02,0.42000000000000004,2,2,1,0,0.42000000000000004,0.4,0.4,1.05,533,116
00-0033949,Joshua Dobbs,QB,2025,NE,4,65,0,0,10,-5,0,0,0,0,0,0,0,0,2.1,2.1,0.525,0.525,10,10,60,0,0.525,2.5,2.5,0.21000000000000002,534,68
